2020-08-14T00:00:00L09108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第8表  家庭住宅及主要設備概況按區域別分,Table 8. Household Housing and Household Facilities by Areas,,,,,,,
,,,,,,,,
民 國 108 年,,,,,2 0 1 9,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,
(11)行動電話,232.57194808,273.48040225,226.38637422,222.40348959,219.85324669,197.3964825,192.57111523,(11)Cell phone
(12)汽車,81.009942653,113.11238617,88.887151762,87.406980011,94.31488423,79.006766385,75.281145707,(12)Sedan vehicle
(13)機車,155.67142564,165.5595232,147.02669047,175.29252272,147.60333794,151.35531706,131.53957546,(13)Motorcycle
(14)電磁爐,33.774738332,29.180064139,23.917879771,22.446184842,24.133168425,29.032353026,20.09860659,(14)Electro-magnetic oven
(15)冷暖氣機,261.88018657,279.83981861,229.79951662,222.0627468,144.78733726,242.31861846,179.2924275,(15)Air conditioner
(16)除濕機,99.142749992,72.644856508,50.172734277,20.542693646,24.467410082,13.603704751,15.451464059,(16)Dehumidifier
(17)洗衣機,104.40454848,105.0843545,100.9905276,101.56710083,101.85377137,101.52137829,99.835077562,(17)Washing machine
(18)烘衣機,24.993525245,21.377514051,29.85084051,10.023223891,12.947862827,4.8724907108,7.6562915873,(18)Drier
(19)空氣清淨機,16.360870934,30.347612485,17.950095751,16.135363616,13.743906031,11.91282647,7.7152536881,(19)Air-clean machine
(20)濾水器,17.909063976,43.85717728,35.023716959,24.618044579,24.827195865,26.929280869,22.821503914,(20)Water filter machine
(21)吸塵器,51.045461341,62.64345271,40.844773227,36.336109953,37.267633609,36.199237146,26.358709421,(21)Vacuum cleaner
(22)熱水器,123.51315867,125.4043483,143.65248524,106.14055534,107.59355072,108.17773772,102.92584121,(22)Geyser
(23)開飲機,52.058327758,52.455071881,61.107245684,55.727495929,46.778441223,51.747419732,33.041916637,(23)Hot-warm water fountain
(24)微波爐,34.797282863,44.265777102,37.849247208,33.905126837,32.680904533,35.869503897,22.335475214,(24)Microwave oven
(25)報紙,7.734027213,7.9273638245,10.113704967,11.05117726,9.7316894961,9.4920164044,9.0927182884,(25)Newspaper
(26)期刊雜誌,1.1750991149,5.3023367108,3.1525821978,2.4778725257,0.9924809435,2.1672355003,0,(26)Magazine
,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第8表  家庭住宅及主要設備概況按區域別分(續完),Table 8. Household Housing and Household Facilities by Areas (Cont.End),,,,,,,
,,,,,,,,
民 國 108 年,,,,,2 0 1 9,,,
,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,County,County,County,County,City,City,City,
,,,,,,,,
(13)汽車,54.554235365,49.746367252,59.074698877,46.0357044,48.762991414,72.05693435,71.214401675,(13)Sedan vehicle
(14)機車,91.193007232,91.33425796,80.430273784,87.414035812,73.802676199,88.579674764,93.545201324,(14)Motorcycle
(15)電磁爐,15.128271491,18.990257231,19.079001125,15.053852489,33.250810383,40.081643243,32.789164461,(15)Electro-magnetic oven
(16)冷暖氣機,91.389541747,80.256922251,84.902714636,95.23427492,96.246618873,96.983625164,97.746481027,(16)Air conditioner
(17)除濕機,7.9864921018,13.943486108,21.914535139,36.576309754,79.835746845,61.34678725,24.778291165,(17)Dehumidifier
(18)洗衣機,97.035744154,97.812146968,97.961074048,98.54488144,99.667028415,98.32263311,98.395462455,(18)Washing machine
(19)烘衣機,1.0739571106,4.947299982,9.9558800356,8.0691400299,19.665984937,28.319883788,6.1171214588,(19)Drier
(20)空氣清淨機,12.07656189,6.0682427816,9.1291340647,7.0065526779,14.172402956,34.794332491,15.433273206,(20)Air-clean machine
(21)濾水器,16.851404846,13.041327602,21.449833689,7.8012974976,28.994246735,55.97177159,36.405661069,(21)Water filter machine
(22)吸塵器,26.389525181,29.29426719,32.014323893,18.547420557,50.613274518,65.036511099,54.504327761,(22)Vacuum cleaner
(23)熱水器,98.647983327,97.194536583,97.147751277,100,99.668373755,100,99.681724445,(23)Geyser
(24)開飲機,52.844722578,49.446159215,49.093450451,77.126035084,29.707104647,43.574129939,25.041125742,(24)Hot-warm water fountain
(25)微波爐,27.015463279,24.325361582,26.814217272,29.991885284,41.291599665,53.151433714,36.298485264,(25)Microwave oven
(26)報紙,6.2276847749,5.6896596176,9.4052084003,4.2731862145,5.7332451651,12.897495848,13.864433102,(26)Newspaper
(27)期刊雜誌,0.8734878857,0.7048571788,0.8715724702,0.4910554135,1.2588234302,6.350246215,3.233226289,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hunderd households
(1)彩色電視機,143.90979302,142.20218616,139.77542113,158.10273626,155.25286138,169.36978387,143.45700086,(1)Color TV
一般彩色電視機,18.229290056,14.350404533,9.9710119287,3.9961167628,6.2861498571,7.9246707025,12.579283532,Non-LCD TV
液晶、電漿電視,125.68050296,127.85178163,129.8044092,154.10661949,148.96671152,161.44511317,130.87771733,LCD、PDP TV
(2)數位影音光碟機,2.7837500159,2.5759929523,5.3989272429,0.9688206393,16.473764123,36.291013994,7.4212830781,(2)DVD player
(3)攝影機,1.4167606359,1.4191431091,1.7181041061,1.9681521041,2.5964702487,7.6618553774,3.2142216028,(3)Movies camera
(4)音響,10.787774086,11.76597875,12.925990648,11.507262278,22.557217302,28.648432303,14.522776582,(4)Stereo
(5)鋼琴(含電子琴),5.2846857303,5.6894605244,7.0805741529,1.5941431442,5.7921948688,20.680883195,7.3515071113,(5)Piano
(6)數位相機,7.1770427413,10.502299133,9.6106001306,3.5271831217,15.583747435,39.086109351,17.765644072,(6)Digital camera
(7)電視遊樂器,1.9275104795,1.4193883426,2.2072267075,4.5907318462,8.6868603988,22.806922511,5.7595969519,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),80.514961564,81.833970525,80.000286656,91.699198148,94.662635393,83.226706717,82.682674491,(8)Cable TV(MOD included)
(9)家用電腦,59.565942349,45.432894975,58.277951102,42.957288012,81.217852353,174.6651272,93.101599234,(9)Personal computer
(10)電話機,80.57365579,67.068073852,80.61184284,100.48389855,90.685311027,85.579804464,97.082536581,(10)Telephone
(11)行動電話,208.32218844,190.04579806,198.02515111,196.41576479,243.37113559,247.90740947,230.08580905,(11)Cell phone
(12)汽車,65.788309093,56.856977982,69.030431501,52.625163082,53.626040317,94.091931673,84.351812412,(12)Sedan vehicle
(13)機車,164.86495336,149.1118038,128.06627923,152.30891414,117.59671316,169.28341003,178.07395066,(13)Motorcycle
(14)電磁爐,15.332965703,19.682229842,19.621810045,15.053852489,33.888725642,40.763091334,33.107440016,(14)Electro-magnetic oven
(15)冷暖氣機,200.75257614,182.57449284,214.02506916,224.46756728,222.09472124,282.38365648,259.863735,(15)Air conditioner
(16)除濕機,8.4126072468,18.562371295,27.039103639,44.115763773,114.47178908,93.751320692,26.719063864,(16)Dehumidifier
(17)洗衣機,99.389966306,102.06199587,103.62805804,100.54007471,101.32881442,105.34319098,100.95722186,(17)Washing machine
(18)烘衣機,1.0739571106,4.947299982,9.9558800356,8.0691400299,19.994051637,29.319706274,6.1171214588,(18)Drier
(19)空氣清淨機,13.568663985,6.7790293876,10.540864816,7.5096175988,16.407050786,43.8787529,16.711114489,(19)Air-clean machine
(20)濾水器,16.851404846,13.393126178,21.733983084,7.8012974976,29.323905482,56.978598879,36.723924492,(20)Water filter machine
(21)吸塵器,27.85630253,33.188011985,36.853979675,20.059635184,54.449706584,86.582366055,59.03277143,(21)Vacuum cleaner
(22)熱水器,101.02765024,111.02767085,112.67543192,114.85388048,104.28582163,127.61399454,110.05366773,(22)Geyser
(23)開飲機,53.885674874,50.522888992,51.109901518,77.609973753,29.707104647,44.917726345,26.011472746,(23)Hot-warm water fountain
(24)微波爐,27.015463279,24.325361582,26.814217272,29.991885284,41.291599665,53.49175389,36.298485264,(24)Microwave oven
(25)報紙,6.2276847749,5.6896596176,9.4052084003,6.0548779167,5.7332451651,14.217046869,14.515892853,(25)Newspaper
(26)期刊雜誌,0.8734878857,0.7048571788,0.8715724702,0.4910554135,1.2588234302,8.6802426391,3.233226289,(26)Magazine
,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,
